"id_norma_modificada","id_norma_modificatoria","tipo_norma","nro_norma","clase_norma","organismo_origen","fecha_boletin","titulo_sumario","titulo_resumido"
"365347","369206","Comunicación","7537","A","BANCO CENTRAL DE LA REPUBLICA ARGENTINA (B.C.R.A.)","2022-08-04","ENTIDADES FINANCIERAS","EFECTIVO MINIMO Y APLICACION DE RECURSOS"
"365363","374052","Disposición","709","","DIRECCION DE NORMATIVA LABORAL","2022-11-01","CONVENCIONES COLECTIVAS DE TRABAJO","FEDERACIÓN DE TRABAJADORES JABONEROS Y AFINES DE LA REP ARG Y OTROS"
"365423","367921","Resolución","1348","","MINISTERIO DE SALUD","2022-07-13","MINISTERIO DE SALUD","PROGRAMA DE FORMACION - FECHA DE PROMOCION Y FINALIZACION"
"365431","367663","Resolución","5229","GENERAL","ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS","2022-07-08","ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS","PRESENTACION DE LAS DECLARACIONES JURADAS Y PAGO - PLAZO ESPECIAL"
"365448","373082","Disposición","681","","DIRECCION DE NORMATIVA LABORAL","2022-10-14","CONVENCIONES COLECTIVAS DE TRABAJO","ASOCIACION DE SUPERVISORES DE LA INDUSTRIA METALMECANICA DE LA REP ARG Y OTROS"
"365449","375394","Disposición","928","","DIRECCION DE NORMATIVA LABORAL","2022-11-23","CONVENCIONES COLECTIVAS DE TRABAJO","SINDICATO DEL PERSONAL DE INDUSTRIAS QUIMICAS Y PETROQUIMICAS ZARATE - UNIONBAT S.A - FADEMI S.A"
"365484","365416","Resolución","128","","MINISTERIO DE AGRICULTURA GANADERIA Y PESCA","2022-05-27","MERCOSUR","RESOLUCIONES - INCORPORANSE AL ORDENAMIENTO JURIDICO NACIONAL"
"365485","365416","Resolución","128","","MINISTERIO DE AGRICULTURA GANADERIA Y PESCA","2022-05-27","MERCOSUR","RESOLUCIONES - INCORPORANSE AL ORDENAMIENTO JURIDICO NACIONAL"
"365486","365416","Resolución","128","","MINISTERIO DE AGRICULTURA GANADERIA Y PESCA","2022-05-27","MERCOSUR","RESOLUCIONES - INCORPORANSE AL ORDENAMIENTO JURIDICO NACIONAL"
"365487","365416","Resolución","128","","MINISTERIO DE AGRICULTURA GANADERIA Y PESCA","2022-05-27","MERCOSUR","RESOLUCIONES - INCORPORANSE AL ORDENAMIENTO JURIDICO NACIONAL"
"365488","365416","Resolución","128","","MINISTERIO DE AGRICULTURA GANADERIA Y PESCA","2022-05-27","MERCOSUR","RESOLUCIONES - INCORPORANSE AL ORDENAMIENTO JURIDICO NACIONAL"
"365489","369675","Decreto","484","Reglamentario","PODER EJECUTIVO NACIONAL (P.E.N.)","2022-08-16","HIDROCARBUROS","DECRETO 277/2022 - REGLAMENTACION"
"365490","370769","Resolución","325","","ENTE NACIONAL REGULADOR DEL GAS","2022-08-31","ENTE NACIONAL REGULADOR DEL GAS","METROGAS S.A. -  CUADROS TARIFARIOS"
"365490","370770","Resolución","326","","ENTE NACIONAL REGULADOR DEL GAS","2022-08-31","ENTE NACIONAL REGULADOR DEL GAS","NATURGY BAN S.A. - CUADROS TARIFARIOS"
"365490","370771","Resolución","327","","ENTE NACIONAL REGULADOR DEL GAS","2022-08-31","ENTE NACIONAL REGULADOR DEL GAS","CUADROS TARIFARIOS - APROBACION"
"365490","370772","Resolución","328","","ENTE NACIONAL REGULADOR DEL GAS","2022-08-31","ENTE NACIONAL REGULADOR DEL GAS","GASNEA S.A. - CUADROS TARIFARIOS"
"365490","370773","Resolución","329","","ENTE NACIONAL REGULADOR DEL GAS","2022-08-31","ENTE NACIONAL REGULADOR DEL GAS","CAMUZZI GAS PAMPEANA S.A. - CUADROS TARIFARIOS"
"365490","370774","Resolución","330","","ENTE NACIONAL REGULADOR DEL GAS","2022-08-31","ENTE NACIONAL REGULADOR DEL GAS","CAMUZZI GAS DEL SUR S.A. - CUADROS TARIFARIOS"
"365490","370775","Resolución","331","","ENTE NACIONAL REGULADOR DEL GAS","2022-08-31","ENTE NACIONAL REGULADOR DEL GAS","CUADROS TARIFARIOS - APROBACION"
"365490","370776","Resolución","332","","ENTE NACIONAL REGULADOR DEL GAS","2022-08-31","ENTE NACIONAL REGULADOR DEL GAS","DISTRIBUIDORA DE GAS DEL CENTRO S.A. - CUADROS TARIFARIOS"
"365490","370777","Resolución","333","","ENTE NACIONAL REGULADOR DEL GAS","2022-08-31","ENTE NACIONAL REGULADOR DEL GAS","DISTRIBUIDORA DE GAS CUYANA S.A. - CUADROS TARIFARIOS"
"365490","370778","Resolución","334","","ENTE NACIONAL REGULADOR DEL GAS","2022-08-31","ENTE NACIONAL REGULADOR DEL GAS","REDENGAS S.A. - CUADROS TARIFARIOS"
"365491","365658","Resolución","171","","ENTE NACIONAL REGULADOR DE LA ELECTRICIDAD","2022-06-01","ENTE NACIONAL REGULADOR DE LA ELECTRICIDAD","CUADRO TARIFARIO EDENOR S.A."
"365491","365659","Resolución","172","","ENTE NACIONAL REGULADOR DE LA ELECTRICIDAD","2022-06-01","ENTE NACIONAL REGULADOR DE LA ELECTRICIDAD","CUADRO TARIFARIO EDESUR S.A."
"365520","372262","Disposición","1","","SUBSECRETARIA DE LA PEQUENA Y MEDIANA EMPRESA","2022-09-29","MINISTERIO DE ECONOMIA","RESOLUCION N° 41/2022 - PRORROGA"
"365540","374194","Comunicación","7593","A","BANCO CENTRAL DE LA REPUBLICA ARGENTINA (B.C.R.A.)","2022-11-03","ENTIDADES FINANCIERAS","PROTECCION DE LOS USUARIOS DE SERVICIOS FINANCIEROS Y PROVEEDORES DE SERVICIOS DE PAGO"
"365552","375546","Disposición","937","","DIRECCION DE NORMATIVA LABORAL","2022-11-25","CONVENCIONES COLECTIVAS DE TRABAJO","SINDICATO DE TRABAJADORES DE INDUSTRIAS DE LA ALIMENTACION - MOLINOS RIO DE LA PLATA SA"
"365555","375541","Disposición","932","","DIRECCION DE NORMATIVA LABORAL","2022-11-25","CONVENCIONES COLECTIVAS DE TRABAJO","UTHGRA - CASINO DE ROSARIO SOCIEDAD ANONIMA"
"365556","374717","Disposición","926","","DIRECCION DE NORMATIVA LABORAL","2022-11-11","CONVENCIONES COLECTIVAS DE TRABAJO","F.O.M.M.T.R.A. - TELEFONICA ARGENTINA SOCIEDAD ANONIMA"
"365557","375541","Disposición","932","","DIRECCION DE NORMATIVA LABORAL","2022-11-25","CONVENCIONES COLECTIVAS DE TRABAJO","UTHGRA - CASINO DE ROSARIO SOCIEDAD ANONIMA"
"365564","370640","Decreto","561","","PODER EJECUTIVO NACIONAL (P.E.N.)","2022-08-31","COMBUSTIBLES","DISPOSICIONES"
"365570","369329","Resolución","302","","ENTE NACIONAL REGULADOR DEL GAS","2022-08-08","ENTE NACIONAL REGULADOR DEL GAS","ADENDA - APROBACION"
"365573","366124","Resolución","95","","INSTITUTO NACIONAL DE ESTADISTICA Y CENSOS","2022-06-08","INSTITUTO NACIONAL DE ESTADISTICA Y CENSOS","RESOLUCION 89/2022 - RECTIFICASE"
"365576","373914","Resolución","764","","MINISTERIO DE ECONOMIA","2022-10-28","MINISTERIO DE ECONOMIA","DUMPING - CIERRE DE INVESTIGACION"
"365581","370587","Resolución","1387","","MINISTERIO DE DESARROLLO SOCIAL","2022-08-30","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","370588","Resolución","1411","","MINISTERIO DE DESARROLLO SOCIAL","2022-08-30","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","370589","Resolución","1426","","MINISTERIO DE DESARROLLO SOCIAL","2022-08-30","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","370590","Resolución","1428","","MINISTERIO DE DESARROLLO SOCIAL","2022-08-30","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","370659","Resolución","1417","","MINISTERIO DE DESARROLLO SOCIAL","2022-08-31","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","370660","Resolución","1418","","MINISTERIO DE DESARROLLO SOCIAL","2022-08-31","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","370661","Resolución","1421","","MINISTERIO DE DESARROLLO SOCIAL","2022-08-31","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","370792","Resolución","1439","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-02","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","370793","Resolución","1440","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-02","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","370794","Resolución","1460","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-02","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","370796","Resolución","1479","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-02","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","370797","Resolución","1480","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-02","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","370959","Resolución","1568","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-07","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","370960","Resolución","1571","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-07","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","371036","Resolución","1507","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-08","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","371037","Resolución","1508","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-08","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","371042","Resolución","1509","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-08","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","371043","Resolución","1510","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-08","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","371044","Resolución","1516","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-08","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","371045","Resolución","1517","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-08","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","371046","Resolución","1520","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-08","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","371047","Resolución","1538","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-08","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","371048","Resolución","1546","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-08","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","371049","Resolución","1547","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-08","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","371122","Resolución","1592","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-09","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","371510","Resolución","1659","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-16","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","371673","Resolución","1664","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-20","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","371674","Resolución","1666","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-20","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","371675","Resolución","1667","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-20","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","371676","Resolución","1668","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-20","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","371677","Resolución","1670","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-20","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","371678","Resolución","1671","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-20","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","371679","Resolución","1675","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-20","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","372235","Resolución","1758","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-29","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","372236","Resolución","1759","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-29","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","372237","Resolución","1761","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-29","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","372349","Resolución","1782","","MINISTERIO DE DESARROLLO SOCIAL","2022-09-30","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","372444","Resolución","1791","","MINISTERIO DE DESARROLLO SOCIAL","2022-10-03","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION - APRUEBESE LO ACTUADO"
"365581","372445","Resolución","1802","","MINISTERIO DE DESARROLLO SOCIAL","2022-10-03","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION - APRUEBESE LO ACTUADO"
"365581","372446","Resolución","1803","","MINISTERIO DE DESARROLLO SOCIAL","2022-10-03","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION - APRUEBESE LO ACTUADO"
"365581","372730","Resolución","1820","","MINISTERIO DE DESARROLLO SOCIAL","2022-10-06","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","372736","Resolución","1825","","MINISTERIO DE DESARROLLO SOCIAL","2022-10-06","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","372738","Resolución","1829","","MINISTERIO DE DESARROLLO SOCIAL","2022-10-06","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","372823","Resolución","1845","","MINISTERIO DE DESARROLLO SOCIAL","2022-10-11","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","372888","Resolución","1835","","MINISTERIO DE DESARROLLO SOCIAL","2022-10-12","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION - APRUEBESE LO ACTUADO"
"365581","372889","Resolución","1836","","MINISTERIO DE DESARROLLO SOCIAL","2022-10-12","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION - APRUEBESE LO ACTUADO"
"365581","372890","Resolución","1837","","MINISTERIO DE DESARROLLO SOCIAL","2022-10-12","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION - APRUEBESE LO ACTUADO"
"365581","372891","Resolución","1841","","MINISTERIO DE DESARROLLO SOCIAL","2022-10-12","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION - APRUEBESE LO ACTUADO"
"365581","372892","Resolución","1844","","MINISTERIO DE DESARROLLO SOCIAL","2022-10-12","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION - APRUEBESE LO ACTUADO"
"365581","372996","Resolución","1856","","MINISTERIO DE DESARROLLO SOCIAL","2022-10-13","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION - APRUEBESE LO ACTUADO"
"365581","372997","Resolución","1857","","MINISTERIO DE DESARROLLO SOCIAL","2022-10-13","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION - APRUEBESE LO ACTUADO"
"365581","372998","Resolución","1858","","MINISTERIO DE DESARROLLO SOCIAL","2022-10-13","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION - APRUEBESE LO ACTUADO"
"365581","372999","Resolución","1859","","MINISTERIO DE DESARROLLO SOCIAL","2022-10-13","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION - APRUEBESE LO ACTUADO"
"365581","373000","Resolución","1863","","MINISTERIO DE DESARROLLO SOCIAL","2022-10-13","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION - APRUEBESE LO ACTUADO"
"365581","373001","Resolución","1866","","MINISTERIO DE DESARROLLO SOCIAL","2022-10-13","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION - APRUEBESE LO ACTUADO"
"365581","373002","Resolución","1867","","MINISTERIO DE DESARROLLO SOCIAL","2022-10-13","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION - APRUEBESE LO ACTUADO"
"365581","373003","Resolución","1868","","MINISTERIO DE DESARROLLO SOCIAL","2022-10-13","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION - APRUEBESE LO ACTUADO"
"365581","373068","Resolución","1881","","MINISTERIO DE DESARROLLO SOCIAL","2022-10-14","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","373069","Resolución","1883","","MINISTERIO DE DESARROLLO SOCIAL","2022-10-14","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","373070","Resolución","1886","","MINISTERIO DE DESARROLLO SOCIAL","2022-10-14","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","373071","Resolución","1890","","MINISTERIO DE DESARROLLO SOCIAL","2022-10-14","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","374586","Resolución","1919","","MINISTERIO DE DESARROLLO SOCIAL","2022-11-10","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","374587","Resolución","1921","","MINISTERIO DE DESARROLLO SOCIAL","2022-11-10","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","374588","Resolución","1922","","MINISTERIO DE DESARROLLO SOCIAL","2022-11-10","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","374589","Resolución","1923","","MINISTERIO DE DESARROLLO SOCIAL","2022-11-10","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","374590","Resolución","1924","","MINISTERIO DE DESARROLLO SOCIAL","2022-11-10","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","374591","Resolución","1926","","MINISTERIO DE DESARROLLO SOCIAL","2022-11-10","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","374592","Resolución","1929","","MINISTERIO DE DESARROLLO SOCIAL","2022-11-10","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","374593","Resolución","1930","","MINISTERIO DE DESARROLLO SOCIAL","2022-11-10","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","374594","Resolución","1931","","MINISTERIO DE DESARROLLO SOCIAL","2022-11-10","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO"
"365581","374595","Resolución","1932","","MINISTERIO DE DESARROLLO SOCIAL","2022-11-10","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","374596","Resolución","1939","","MINISTERIO DE DESARROLLO SOCIAL","2022-11-10","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","374705","Resolución","1920","","MINISTERIO DE DESARROLLO SOCIAL","2022-11-11","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365581","375204","Resolución","1987","","MINISTERIO DE DESARROLLO SOCIAL","2022-11-18","MINISTERIO DE DESARROLLO SOCIAL","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
